timestamp,value1,value2,value3,value4,value5

23rd February 2020,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f634', b'\\U0001f618', b'\\U0001f4a9']"

22nd February 2020,"[b'\\U0001f602', b'\\U0001f609', b'\\U0001f618', b'\\U0001f911', b'\\U0001f643']"

21st February 2020,"[b'\\U0001f60d', b'\\U0001f427', b'\\U0001f604', b'\\U0001f435', b'\\U0001f632']"

20th February 2020,"[b'\\U0001f60a', b'\\U0001f609', b'\\U0001f618', b'\\U0001f61c', b'\\U0001f914']"

19th February 2020,"[b'\\U0001f47b', b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f47d', b'\\U0001f3f3\\U0001f308']"

18th February 2020,"[b'\\U0001f602', b'\\U0001f60d', b'\\u2764', b'\\U0001f62b', b'\\U0001f618']"

17th February 2020,"[b'\\U0001f60d', b'\\U0001f914', b'\\U0001f60a', b'\\U0001f618', b'\\U0001f604']"

16th February 2020,"[b'\\U0001f600', b'\\U0001f60d', b'\\U0001f60c', b'\\U0001f61b', b'\\U0001f605']"

15th February 2020,"[b'\\U0001f911', b'\\U0001f60a', b'\\U0001f64f', b'\\U0001f914', b'\\U0001f917']"

14th February 2020,"[b'\\U0001f4a9', b'\\U0001f425', b'\\U0001f417', b'\\U0001f412', b'\\U0001f98a']"

13th February 2020,"[b'\\U0001f618', b'\\U0001f61c', b'\\U0001f60a', b'\\U0001f431', b'\\u2764']"

12th February 2020,"[b'\\U0001f618', b'\\U0001f913', b'\\U0001f911', b'\\U0001f914', b'\\U0001f61c']"

11th February 2020,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f609', b'\\U0001f61c', b'\\U0001f64f']"

10th February 2020,"[b'\\U0001f60d', b'\\U0001f608', b'\\U0001f4a9', b'\\U0001f47b', b'\\U0001f624']"

9th February 2020,"[b'\\U0001f602', b'\\U0001f355', b'\\U0001f988', b'\\U0001f427', b'\\U0001f595']"

8th February 2020,"[b'\\U0001f913', b'\\U0001f480', b'\\U0001f431', b'\\U0001f984', b'\\U0001f344']"

7th February 2020,"[b'\\U0001f61c', b'\\U0001f60e', b'\\U0001f914', b'\\U0001f606', b'\\U0001f60b']"

6th February 2020,"[b'\\U0001f607', b'\\U0001f60a', b'\\U0001f431', b'\\U0001f61c', b'\\U0001f618']"

5th February 2020,"[b'\\U0001f602', b'\\U0001f60e', b'\\U0001f917', b'\\U0001f911', b'\\U0001f436']"

4th February 2020,"[b'\\u2665', b'\\U0001f633', b'\\U0001f600', b'\\U0001f61d', b'\\U0001f606']"

3rd February 2020,"[b'\\U0001f431', b'\\U0001f353', b'\\U0001f942', b'\\U0001f352', b'\\U0001f54a']"

2nd February 2020,"[b'\\U0001f600', b'\\U0001f642', b'\\U0001f60a', b'\\U0001f913', b'\\U0001f914']"

1st February 2020,"[b'\\U0001f4a9', b'\\U0001f60b', b'\\U0001f60d', b'\\U0001f914', b'\\U0001f609']"

31st January 2020,"[b'\\U0001f60d', b'\\U0001f60a', b'\\U0001f618', b'\\U0001f60b', b'\\U0001f609']"

30th January 2020,"[b'\\U0001f914', b'\\U0001f607', b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f604']"

29th January 2020,"[b'\\U0001f600', b'\\U0001f601', b'\\U0001f606', b'\\U0001f607', b'\\U0001f609']"

28th January 2020,"[b'\\U0001f449', b'\\U0001f480', b'\\U0001f595', b'\\U0001f480', b'\\U0001f448']"

27th January 2020,"[b'\\U0001f54a', b'\\U0001f421', b'\\U0001f405', b'\\U0001f525', b'\\U0001f340']"

26th January 2020,"[b'\\U0001f60d', b'\\U0001f444', b'\\u2764', b'\\U0001f308', b'\\U0001f618']"

25th January 2020,"[b'\\U0001f436', b'\\U0001f437', b'\\U0001f426', b'\\U0001f428', b'\\U0001f984']"

24th January 2020,"[b'\\U0001f61c', b'\\U0001f34d', b'\\u2665', b'\\U0001f643', b'\\U0001f607']"

23rd January 2020,"[b'\\U0001f911', b'\\U0001f913', b'\\U0001f607', b'\\U0001f617', b'\\U0001f60e']"

22nd January 2020,"[b'\\U0001f642', b'\\U0001f643', b'\\U0001f642', b'\\U0001f642', b'\\U0001f643']"

21st January 2020,"[b'\\U0001f917', b'\\U0001f436', b'\\U0001f4a9', b'\\U0001f407', b'\\U0001f495']"

20th January 2020,"[b'\\U0001f61d', b'\\U0001f913', b'\\U0001f917', b'\\U0001f60a', b'\\U0001f604']"

19th January 2020,"[b'\\U0001f47b', b'\\U0001f602', b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f917']"

18th January 2020,"[b'\\U0001f913', b'\\U0001f98b', b'\\U0001f444', b'\\U0001f336', b'\\U0001f630']"

17th January 2020,"[b'\\U0001f60d', b'\\U0001f60a', b'\\U0001f618', b'\\U0001f61c', b'\\U0001f914']"

16th January 2020,"[b'\\U0001f416', b'\\U0001f63a', b'\\U0001f453', b'\\U0001f41b', b'\\U0001f400']"

15th January 2020,"[b'\\U0001f618', b'\\U0001f914', b'\\U0001f407', b'\\U0001f428', b'\\U0001f495']"

14th January 2020,"[b'\\U0001f408', b'\\U0001f31f', b'\\U0001f3f3\\U0001f308', b'\\U0001f431', b'\\U0001f427']"

13th January 2020,"[b'\\U0001f44a', b'\\U0001f618', b'\\U0001f917', b'\\U0001f913', b'\\U0001f609']"

12th January 2020,"[b'\\U0001f602', b'\\U0001f603', b'\\U0001f609', b'\\U0001f60b', b'\\U0001f606']"

11th January 2020,"[b'\\U0001f914', b'\\U0001f643', b'\\U0001f636', b'\\U0001f613', b'\\U0001f447']"

10th January 2020,"[b'\\U0001f606', b'\\U0001f609', b'\\U0001f917', b'\\U0001f643', b'\\U0001f914']"

9th January 2020,"[b'\\U0001f606', b'\\U0001f60b', b'\\U0001f643', b'\\U0001f61c', b'\\U0001f914']"

8th January 2020,"[b'\\U0001f602', b'\\U0001f603', b'\\U0001f61c', b'\\U0001f617', b'\\U0001f914']"

7th January 2020,"[b'\\U0001f60e', b'\\U0001f493', b'\\U0001f602', b'\\U0001f60d', b'\\U0001f435']"

6th January 2020,"[b'\\U0001f911', b'\\U0001f60a', b'\\U0001f606', b'\\U0001f60b', b'\\U0001f607']"

5th January 2020,"[b'\\U0001f61c', b'\\U0001f44a', b'\\U0001f616', b'\\U0001f353', b'\\U0001f428']"

4th January 2020,"[b'\\U0001f636', b'\\U0001f642', b'\\U0001f914', b'\\U0001f603', b'\\U0001f60e']"

