timestamp,value1,value2,value3,value4,value5

23rd February 2020,&#x1f602,&#x1f60d,&#x1f634,&#x1f618,&#x1f4a9

22nd February 2020,&#x1f602,&#x1f609,&#x1f618,&#x1f911,&#x1f643

21st February 2020,&#x1f60d,&#x1f427,&#x1f604,&#x1f435,&#x1f632

20th February 2020,&#x1f60a,&#x1f609,&#x1f618,&#x1f61c,&#x1f914

19th February 2020,&#x1f47b,&#x1f61c,&#x1f60d,&#x1f47d,&#x1f3f3&#x1f308

18th February 2020,&#x1f602,&#x1f60d,u2764,&#x1f62b,&#x1f618

17th February 2020,&#x1f60d,&#x1f914,&#x1f60a,&#x1f618,&#x1f604

16th February 2020,&#x1f600,&#x1f60d,&#x1f60c,&#x1f61b,&#x1f605

15th February 2020,&#x1f911,&#x1f60a,&#x1f64f,&#x1f914,&#x1f917

14th February 2020,&#x1f4a9,&#x1f425,&#x1f417,&#x1f412,&#x1f98a

13th February 2020,&#x1f618,&#x1f61c,&#x1f60a,&#x1f431,u2764

12th February 2020,&#x1f618,&#x1f913,&#x1f911,&#x1f914,&#x1f61c

11th February 2020,&#x1f60d,&#x1f602,&#x1f609,&#x1f61c,&#x1f64f

10th February 2020,&#x1f60d,&#x1f608,&#x1f4a9,&#x1f47b,&#x1f624

9th February 2020,&#x1f602,&#x1f355,&#x1f988,&#x1f427,&#x1f595

8th February 2020,&#x1f913,&#x1f480,&#x1f431,&#x1f984,&#x1f344

7th February 2020,&#x1f61c,&#x1f60e,&#x1f914,&#x1f606,&#x1f60b

6th February 2020,&#x1f607,&#x1f60a,&#x1f431,&#x1f61c,&#x1f618

5th February 2020,&#x1f602,&#x1f60e,&#x1f917,&#x1f911,&#x1f436

4th February 2020,u2665,&#x1f633,&#x1f600,&#x1f61d,&#x1f606

3rd February 2020,&#x1f431,&#x1f353,&#x1f942,&#x1f352,&#x1f54a

2nd February 2020,&#x1f600,&#x1f642,&#x1f60a,&#x1f913,&#x1f914

1st February 2020,&#x1f4a9,&#x1f60b,&#x1f60d,&#x1f914,&#x1f609

31st January 2020,&#x1f60d,&#x1f60a,&#x1f618,&#x1f60b,&#x1f609

30th January 2020,&#x1f914,&#x1f607,&#x1f61c,&#x1f60d,&#x1f604

29th January 2020,&#x1f600,&#x1f601,&#x1f606,&#x1f607,&#x1f609

28th January 2020,&#x1f449,&#x1f480,&#x1f595,&#x1f480,&#x1f448

27th January 2020,&#x1f54a,&#x1f421,&#x1f405,&#x1f525,&#x1f340

26th January 2020,&#x1f60d,&#x1f444,u2764,&#x1f308,&#x1f618

25th January 2020,&#x1f436,&#x1f437,&#x1f426,&#x1f428,&#x1f984

24th January 2020,&#x1f61c,&#x1f34d,u2665,&#x1f643,&#x1f607

23rd January 2020,&#x1f911,&#x1f913,&#x1f607,&#x1f617,&#x1f60e

22nd January 2020,&#x1f642,&#x1f643,&#x1f642,&#x1f642,&#x1f643

21st January 2020,&#x1f917,&#x1f436,&#x1f4a9,&#x1f407,&#x1f495

20th January 2020,&#x1f61d,&#x1f913,&#x1f917,&#x1f60a,&#x1f604

19th January 2020,&#x1f47b,&#x1f602,&#x1f61c,&#x1f60d,&#x1f917

18th January 2020,&#x1f913,&#x1f98b,&#x1f444,&#x1f336,&#x1f630

17th January 2020,&#x1f60d,&#x1f60a,&#x1f618,&#x1f61c,&#x1f914

16th January 2020,&#x1f416,&#x1f63a,&#x1f453,&#x1f41b,&#x1f400

15th January 2020,&#x1f618,&#x1f914,&#x1f407,&#x1f428,&#x1f495

14th January 2020,&#x1f408,&#x1f31f,&#x1f3f3&#x1f308,&#x1f431,&#x1f427

13th January 2020,&#x1f44a,&#x1f618,&#x1f917,&#x1f913,&#x1f609

12th January 2020,&#x1f602,&#x1f603,&#x1f609,&#x1f60b,&#x1f606

11th January 2020,&#x1f914,&#x1f643,&#x1f636,&#x1f613,&#x1f447

10th January 2020,&#x1f606,&#x1f609,&#x1f917,&#x1f643,&#x1f914

9th January 2020,&#x1f606,&#x1f60b,&#x1f643,&#x1f61c,&#x1f914

8th January 2020,&#x1f602,&#x1f603,&#x1f61c,&#x1f617,&#x1f914

7th January 2020,&#x1f60e,&#x1f493,&#x1f602,&#x1f60d,&#x1f435

6th January 2020,&#x1f911,&#x1f60a,&#x1f606,&#x1f60b,&#x1f607

5th January 2020,&#x1f61c,&#x1f44a,&#x1f616,&#x1f353,&#x1f428

4th January 2020,&#x1f636,&#x1f642,&#x1f914,&#x1f603,&#x1f60e

3rd January 2020,&#x1f47b,&#x1f437,&#x1f416,&#x1f915,&#x1f426

2nd January 2020,&#x1f911,&#x1f618,&#x1f917,&#x1f914,&#x1f624

1st January 2020,&#x1f602,&#x1f618,&#x1f407,&#x1f460,&#x1f41d

31st December 2019,&#x1f60a,&#x1f914,&#x1f60e,&#x1f911,&#x1f60d

30th December 2019,&#x1f3a7,&#x1f4a4,&#x1f4fc,&#x1f415,&#x1f913

29th December 2019,&#x1f914,&#x1f601,&#x1f606,&#x1f911,&#x1f913

28th December 2019,&#x1f60d,&#x1f601,&#x1f60e,&#x1f642,&#x1f61d

27th December 2019,&#x1f602,&#x1f60a,&#x1f60d,&#x1f913,&#x1f61c

26th December 2019,&#x1f602,&#x1f60a,&#x1f607,&#x1f642,&#x1f60e

25th December 2019,&#x1f608,&#x1f448,&#x1f430,&#x1f441,&#x1f426

24th December 2019,&#x1f436,&#x1f418,&#x1f355,&#x1f61b,&#x1f606

23rd December 2019,&#x1f643,&#x1f61c,&#x1f619,&#x1f636,&#x1f602

22nd December 2019,&#x1f917,&#x1f430,&#x1f415,&#x1f353,u2764

21st December 2019,&#x1f913,&#x1f60e,&#x1f628,&#x1f436,&#x1f405

20th December 2019,&#x1f61c,&#x1f618,&#x1f608,&#x1f60a,&#x1f644

19th December 2019,&#x1f60d,&#x1f618,&#x1f601,&#x1f643,&#x1f60b

18th December 2019,&#x1f60d,&#x1f618,&#x1f643,&#x1f602,&#x1f917

17th December 2019,&#x1f600,&#x1f603,&#x1f618,&#x1f619,&#x1f917

16th December 2019,&#x1f643,&#x1f60d,&#x1f607,&#x1f600,&#x1f618

15th December 2019,&#x1f911,&#x1f60d,&#x1f600,&#x1f596,&#x1f340

14th December 2019,&#x1f47b,&#x1f642,&#x1f389,&#x1f618,&#x1f431

13th December 2019,&#x1f602,&#x1f60d,&#x1f4a9,&#x1f911,&#x1f61d

12th December 2019,&#x1f633,&#x1f635,&#x1f438,&#x1f31e,&#x1f336

11th December 2019,&#x1f917,&#x1f61c,&#x1f60b,&#x1f607,&#x1f911

10th December 2019,&#x1f917,&#x1f60d,&#x1f914,&#x1f911,&#x1f595

9th December 2019,&#x1f618,&#x1f61c,&#x1f602,&#x1f609,&#x1f60d

8th December 2019,&#x1f60a,&#x1f60d,&#x1f607,&#x1f604,&#x1f60a

7th December 2019,&#x1f618,&#x1f60a,&#x1f914,&#x1f60e,&#x1f427

6th December 2019,&#x1f913,&#x1f608,&#x1f47b,&#x1f431,&#x1f43c

5th December 2019,&#x1f60d,&#x1f602,&#x1f609,&#x1f618,&#x1f619

4th December 2019,&#x1f911,&#x1f617,&#x1f618,&#x1f607,&#x1f60b

3rd December 2019,&#x1f60d,&#x1f635,&#x1f61c,&#x1f60a,&#x1f419

2nd December 2019,&#x1f60d,&#x1f602,&#x1f607,&#x1f436,&#x1f606

1st December 2019,&#x1f61a,&#x1f436,&#x1f61c,&#x1f389,&#x1f353

30th November 2019,&#x1f60d,&#x1f91e,&#x1f47b,&#x1f984,&#x1f369

29th November 2019,&#x1f914,&#x1f636,&#x1f61d,&#x1f617,&#x1f643

28th November 2019,&#x1f984,&#x1f913,&#x1f3f3&#x1f308,&#x1f61d,&#x1f426

27th November 2019,&#x1f607,&#x1f60d,&#x1f61c,&#x1f913,&#x1f914

26th November 2019,&#x1f60d,&#x1f61c,&#x1f618,&#x1f61d,&#x1f60b

25th November 2019,&#x1f31c,&#x1f6f0,&#x1f631,&#x1f32d,&#x1f433

24th November 2019,&#x1f60d,&#x1f61c,&#x1f618,&#x1f407,&#x1f415

23rd November 2019,&#x1f607,&#x1f602,&#x1f643,&#x1f617,&#x1f917

22nd November 2019,&#x1f618,&#x1f602,&#x1f60a,&#x1f61d,&#x1f911

21st November 2019,&#x1f4a9,&#x1f431,&#x1f984,&#x1f351,&#x1f346

20th November 2019,&#x1f914,&#x1f47b,&#x1f419,&#x1f438,&#x1f988

19th November 2019,&#x1f600,&#x1f601,&#x1f642,&#x1f60e,&#x1f914

18th November 2019,&#x1f61c,&#x1f60d,&#x1f422,&#x1f353,&#x1f4b7

17th November 2019,&#x1f601,&#x1f607,&#x1f60d,&#x1f917,&#x1f60e

16th November 2019,&#x1f600,&#x1f911,&#x1f60e,&#x1f618,&#x1f61d

15th November 2019,&#x1f600,&#x1f61c,&#x1f60d,&#x1f60e,&#x1f47b

14th November 2019,&#x1f600,&#x1f412,&#x1f340,&#x1f353,&#x1f48e

13th November 2019,&#x1f600,&#x1f60d,&#x1f601,&#x1f609,&#x1f917

12th November 2019,&#x1f609,&#x1f60e,&#x1f60d,&#x1f607,&#x1f914

11th November 2019,&#x1f642,&#x1f607,&#x1f609,&#x1f60d,&#x1f914

10th November 2019,&#x1f60d,&#x1f917,&#x1f4a9,&#x1f427,&#x1f425

9th November 2019,&#x1f618,&#x1f34d,&#x1f61d,&#x1f389,&#x1f601

8th November 2019,&#x1f607,&#x1f608,&#x1f308,&#x1f60f,u2665

7th November 2019,&#x1f344,&#x1f60b,&#x1f47b,&#x1f431,&#x1f409

6th November 2019,&#x1f911,&#x1f60d,&#x1f643,&#x1f917,&#x1f61c

5th November 2019,&#x1f61c,&#x1f917,&#x1f911,&#x1f60d,&#x1f914

4th November 2019,&#x1f601,&#x1f609,&#x1f618,&#x1f60d,&#x1f61d

3rd November 2019,&#x1f917,&#x1f911,&#x1f914,&#x1f911,&#x1f917

2nd November 2019,&#x1f60a,&#x1f60d,&#x1f643,&#x1f642,&#x1f60e

1st November 2019,&#x1f61c,&#x1f618,&#x1f60d,&#x1f911,&#x1f60e

31st October 2019,&#x1f606,&#x1f618,&#x1f913,&#x1f60b,&#x1f911

30th October 2019,&#x1f609,&#x1f60e,&#x1f917,&#x1f60b,&#x1f608

29th October 2019,&#x1f602,&#x1f61c,&#x1f914,&#x1f4a9,&#x1f44d

28th October 2019,&#x1f60f,&#x1f411,&#x1f429,&#x1f437,&#x1f917

27th October 2019,&#x1f600,&#x1f914,&#x1f61c,&#x1f60a,&#x1f603

26th October 2019,&#x1f47d,&#x1f915,&#x1f43c,&#x1f4a9,&#x1f344

25th October 2019,&#x1f642,&#x1f606,&#x1f609,&#x1f4a9,&#x1f608

24th October 2019,&#x1f917,&#x1f618,&#x1f942,&#x1f64f,&#x1f984

23rd October 2019,&#x1f340,&#x1f431,&#x1f31e,&#x1f495,&#x1f595

22nd October 2019,&#x1f600,&#x1f601,&#x1f438,&#x1f340,&#x1f351

21st October 2019,&#x1f60d,&#x1f61c,&#x1f618,&#x1f602,&#x1f911

20th October 2019,&#x1f61d,&#x1f60b,&#x1f915,&#x1f595,&#x1f435

19th October 2019,&#x1f600,&#x1f607,&#x1f618,&#x1f61c,&#x1f914

18th October 2019,&#x1f913,&#x1f61c,&#x1f642,&#x1f60a,&#x1f61d

